Year,RK,Team,GP,PPG,3PM,3PA,3PM,3PA,3P%,2PM,2PA,2P%,PPS,FG%
2021,1,Baylor,24,84.4,10.3,25,248,593,0.418,498,920,0.541,1.34,0.575
2021,2,Colgate,15,86.3,9.1,23,136,340,0.4,336,607,0.554,1.37,0.57
2021,3,Liberty,28,74.9,10.3,26,289,740,0.391,472,809,0.583,1.35,0.585
2021,4,Florida State,22,78.9,8.2,21,181,464,0.39,439,843,0.521,1.33,0.544
2021,5,Oral Roberts,26,81.8,11.3,29,294,754,0.39,440,863,0.51,1.31,0.545
2021,6,Michigan,24,76.3,7.5,20,181,468,0.387,487,914,0.533,1.32,0.55
2021,7,Iowa,29,83.8,9.8,25,283,733,0.386,580,1106,0.524,1.32,0.546
2021,8,Virginia,24,68.6,8.5,22,204,535,0.381,404,731,0.553,1.3,0.561
2021,9,Oregon,26,74.4,8.4,22,218,575,0.379,497,940,0.529,1.28,0.544
2021,10,BYU,26,78.7,9,24,233,616,0.378,518,941,0.55,1.31,0.557
2021,11,North Texas,26,69.8,7.6,20,197,524,0.376,471,881,0.535,1.29,0.546
2021,12,Illinois,29,81.4,6.8,18,197,524,0.376,654,1183,0.553,1.38,0.556
2021,13,San Diego State,27,74.1,8.5,23,229,611,0.375,466,918,0.508,1.31,0.529
2021,14,Drexel,19,71.5,7.3,20,138,371,0.372,357,667,0.535,1.31,0.543
2021,15,Drake,29,77.4,7,19,204,552,0.37,664,1205,0.551,1.28,0.552
2021,16,Loyola Chicago,28,71.5,7.2,20,201,546,0.368,534,910,0.587,1.38,0.574
2021,17,Norfolk State,23,75.2,7.8,21,180,489,0.368,411,868,0.474,1.27,0.502
2021,18,UCLA,26,72.8,6.7,18,173,471,0.367,513,1014,0.506,1.28,0.52
2021,19,Colorado,30,73,7.5,20,224,611,0.367,550,1093,0.503,1.29,0.52
2021,20,Creighton,28,77,9.7,27,272,742,0.367,525,933,0.563,1.29,0.557
2021,21,Georgetown,25,71.4,8.3,23,208,568,0.366,413,895,0.461,1.22,0.496
2021,22,Gonzaga,26,92.1,7.3,20,190,520,0.365,698,1092,0.639,1.49,0.61
2021,23,Ohio State,30,77.3,8.2,23,247,677,0.365,543,1042,0.521,1.35,0.531
2021,24,Ohio,23,80.9,8.5,23,195,540,0.361,491,863,0.569,1.33,0.558
2021,25,Houston,27,77.6,9.3,26,252,699,0.361,487,965,0.505,1.26,0.52
2021,26,Wisconsin,29,69.6,8.6,24,248,690,0.359,463,1000,0.463,1.19,0.494
2021,27,West Virginia,27,77.3,7.3,20,196,549,0.357,515,1111,0.464,1.26,0.487
2021,28,Florida,23,74,6.8,19,157,440,0.357,448,863,0.519,1.31,0.525
2021,29,Virginia Tech,21,72.1,8.2,23,173,485,0.357,361,698,0.517,1.28,0.525
2021,30,Texas,26,75.2,8.7,24,225,632,0.356,459,875,0.525,1.3,0.529
2021,31,Iona,17,72.2,7.5,21,127,358,0.355,296,593,0.499,1.29,0.512
2021,32,St. Bonaventure,20,70.5,6.6,19,131,370,0.354,390,791,0.493,1.21,0.505
2021,33,Eastern Washington,23,78,8.4,24,194,548,0.354,444,819,0.542,1.31,0.538
2021,34,Abilene Christian,27,77.6,7.9,22,214,606,0.353,535,1022,0.523,1.29,0.526
2021,35,Oregon State,29,70.7,7,20,203,575,0.353,509,1063,0.479,1.25,0.497
2021,36,Winthrop,24,79.5,8.5,24,203,575,0.353,471,888,0.53,1.3,0.53
2021,37,Maryland,29,68.8,8.1,23,234,663,0.353,465,870,0.534,1.3,0.532
2021,38,Villanova,22,75.5,9.2,26,203,576,0.352,378,715,0.529,1.29,0.529
2021,39,UC Santa Barbara,26,76.5,6.8,19,176,501,0.351,541,976,0.554,1.35,0.545
2021,40,Alabama,30,79.6,10.7,30,320,912,0.351,514,1025,0.501,1.23,0.513
2021,41,Morehead State,30,68.8,6.6,19,197,562,0.351,541,1039,0.521,1.29,0.522
2021,42,LSU,27,82.1,8.1,23,220,628,0.35,564,1064,0.53,1.31,0.528
2021,43,Georgia Tech,25,75.5,7.6,22,189,541,0.349,506,925,0.547,1.29,0.539
2021,44,USC,29,74.8,6.3,18,183,526,0.348,605,1161,0.521,1.29,0.521
2021,45,Texas Tech,27,73,6.2,18,168,485,0.346,518,1064,0.487,1.27,0.497
2021,46,Clemson,23,65.3,8.3,24,192,555,0.346,349,709,0.492,1.19,0.504
2021,47,Kansas,28,73.1,7.5,22,209,608,0.344,528,1068,0.494,1.22,0.502
2021,48,Wichita State,21,72.4,8.3,24,175,512,0.342,339,749,0.453,1.21,0.477
2021,49,Syracuse,25,75.8,8.1,24,203,598,0.339,473,935,0.506,1.24,0.507
2021,50,Arkansas,28,82.4,7.9,23,220,649,0.339,605,1165,0.519,1.27,0.515
2021,51,Oklahoma,25,74.8,8,24,200,591,0.338,470,926,0.508,1.23,0.508
2021,52,Oklahoma State,28,77.1,6.4,19,179,529,0.338,596,1129,0.528,1.3,0.521
2021,53,Tennessee,26,72.5,6.7,20,173,513,0.337,488,979,0.498,1.26,0.501
2021,54,Mount St. Mary's,22,63.7,6.6,20,146,433,0.337,362,759,0.477,1.18,0.487
2021,55,Utah State,28,73.3,6.5,19,181,538,0.336,570,1144,0.498,1.22,0.5
2021,56,UConn,22,72.5,6.7,20,148,440,0.336,433,883,0.49,1.21,0.495
2021,57,Purdue,27,71.1,7.1,21,192,573,0.335,497,954,0.521,1.26,0.514
2021,58,Grand Canyon,23,75.6,6.8,20,156,470,0.332,490,844,0.581,1.32,0.551
2021,59,VCU,26,71.7,6.5,20,168,510,0.329,491,950,0.517,1.28,0.509
2021,60,Hartford,23,65.9,7.6,23,174,533,0.326,369,718,0.514,1.21,0.504
2021,61,Appalachian State,28,70.9,8.1,25,227,701,0.324,447,925,0.483,1.22,0.484
2021,62,Missouri,25,73.6,6.9,22,173,540,0.32,473,899,0.526,1.28,0.509
2021,63,Michigan State,27,69,6.4,20,172,537,0.32,496,1037,0.478,1.18,0.479
2021,64,Cleveland State,26,71.5,6.4,20,166,520,0.319,518,994,0.521,1.23,0.507
2021,65,North Carolina,28,75.7,5.6,18,157,496,0.317,619,1265,0.489,1.2,0.485
2021,66,Rutgers,26,70,6,19,157,505,0.311,539,1039,0.519,1.18,0.502
2021,67,UNC Greensboro,29,73.6,7.6,25,221,736,0.3,582,1158,0.503,1.13,0.482
2021,68,Texas Southern,24,74.8,4.6,17,110,398,0.276,540,1045,0.517,1.24,0.489
2019,1,Wofford,33,83,11,26,364,874,0.416,633,1148,0.551,1.35,0.583
2019,2,Virginia,32,71.8,8.5,21,271,663,0.409,549,1052,0.522,1.34,0.557
2019,3,Fairleigh Dickinson,33,75.4,7.7,19,254,629,0.404,622,1205,0.516,1.36,0.547
2019,4,Virginia Tech,32,74,9.6,24,307,779,0.394,517,954,0.542,1.37,0.564
2019,5,Marquette,33,77.7,9.4,24,311,791,0.393,558,1104,0.505,1.35,0.541
2019,6,Gardner-Webb,34,78.3,8,20,272,696,0.391,661,1216,0.544,1.39,0.559
2019,7,Georgia State,32,77.2,9.9,25,316,814,0.388,549,1044,0.526,1.33,0.551
2019,8,Colgate,34,75.8,9,23,305,786,0.388,625,1153,0.542,1.33,0.558
2019,9,Northeastern,33,76.1,9.8,25,322,830,0.388,542,961,0.564,1.4,0.572
2019,10,Abilene Christian,33,74.5,7.5,19,246,637,0.386,634,1221,0.519,1.32,0.54
2019,11,Michigan State,33,79.2,8.3,22,273,712,0.383,649,1177,0.551,1.38,0.56
2019,12,Montana,34,76.8,8.3,22,281,739,0.38,674,1184,0.569,1.36,0.57
2019,13,Saint Mary's,33,72.9,7.4,20,245,648,0.378,631,1202,0.525,1.3,0.54
2019,24,Mississippi State,33,77.3,8.6,23,284,752,0.378,627,1178,0.532,1.32,0.546
2019,15,Auburn,34,79.4,11.2,30,381,1012,0.376,549,1059,0.518,1.3,0.541
