Year,RK,Team,GP,AST,APG,TO,TOPG,AST/TO
2021,1,Iowa,29,555,19.1,276,9.5,2.01
2021,2,Gonzaga,26,476,18.3,315,12.1,1.51
2021,3,Abilene Christian,27,491,18.2,374,13.9,1.31
2021,4,Ohio,23,412,17.9,277,12,1.49
2021,5,Colgate,15,265,17.7,151,10.1,1.75
2021,6,Baylor,24,409,17,298,12.4,1.37
2021,7,BYU,26,431,16.6,346,13.3,1.25
2021,8,Illinois,29,473,16.3,381,13.1,1.24
2021,9,Utah State,28,456,16.3,381,13.6,1.2
2021,10,UC Santa Barbara,26,423,16.3,285,11,1.48
2021,11,Grand Canyon,23,371,16.1,301,13.1,1.23
2021,12,Georgia Tech,25,402,16.1,278,11.1,1.45
2021,13,Liberty,28,446,15.9,271,9.7,1.65
2021,14,Creighton,28,444,15.9,312,11.1,1.42
2021,15,Michigan State,27,428,15.9,352,13,1.22
2021,16,Loyola Chicago,28,442,15.8,334,11.9,1.32
2021,17,North Carolina,28,433,15.5,414,14.8,1.05
2021,18,Michigan,24,371,15.5,266,11.1,1.39
2021,19,Syracuse,25,382,15.3,279,11.2,1.37
2021,20,Villanova,22,336,15.3,199,9,1.69
2021,21,Drexel,19,288,15.2,245,12.9,1.18
2021,22,Eastern Washington,23,347,15.1,264,11.5,1.31
2021,23,Winthrop,24,361,15,340,14.2,1.06
2021,24,Tennessee,26,391,15,326,12.5,1.2
2021,25,Arkansas,28,419,15,368,13.1,1.14
2021,26,St. Bonaventure,20,296,14.8,221,11.1,1.34
2021,27,Oregon State,29,426,14.7,328,11.3,1.3
2021,28,Florida State,22,322,14.6,316,14.4,1.02
2021,29,Virginia Tech,21,302,14.4,245,11.7,1.23
2021,30,Purdue,27,386,14.3,339,12.6,1.14
2021,31,Alabama,30,426,14.2,421,14,1.01
2021,32,Houston,27,381,14.1,293,10.9,1.3
2021,33,Cleveland State,26,363,14,334,12.8,1.09
2021,34,Virginia,24,335,14,226,9.4,1.48
2021,35,Iona,17,237,13.9,266,15.6,0.89
2021,36,San Diego State,27,376,13.9,305,11.3,1.23
2021,37,West Virginia,27,373,13.8,328,12.1,1.14
2021,38,Rutgers,26,359,13.8,294,11.3,1.22
2021,39,Drake,29,399,13.8,299,10.3,1.33
2021,40,Kansas,28,383,13.7,346,12.4,1.11
2021,41,USC,29,396,13.7,361,12.4,1.1
2021,42,UCLA,26,354,13.6,290,11.2,1.22
2021,43,Oklahoma,25,336,13.4,277,11.1,1.21
2021,44,Oregon,26,349,13.4,297,11.4,1.18
2021,45,North Texas,26,347,13.3,341,13.1,1.02
2021,46,VCU,26,347,13.3,380,14.6,0.91
2021,47,Wisconsin,29,386,13.3,259,8.9,1.49
2021,48,Wichita State,21,279,13.3,238,11.3,1.17
2021,49,Maryland,29,385,13.3,324,11.2,1.19
2021,50,Clemson,23,305,13.3,292,12.7,1.04
2021,51,Colorado,30,397,13.2,333,11.1,1.19
2021,52,Oklahoma State,28,370,13.2,446,15.9,0.83
2021,53,Missouri,25,330,13.2,336,13.4,0.98
2021,54,Texas,26,342,13.2,370,14.2,0.92
2021,55,UConn,22,287,13,258,11.7,1.11
2021,56,Ohio State,30,391,13,313,10.4,1.25
