Year,RK,Team,GP,BLK,PF,BLKPG,BLK/PF,,
2021,1,Florida,23,125,427,5.43,0.29,,
2021,2,VCU,26,140,485,5.38,0.29,,
2021,3,USC,29,153,450,5.28,0.34,,
2021,4,UConn,22,116,415,5.27,0.28,,
2021,5,Rutgers,26,136,459,5.23,0.3,,
2021,6,Arkansas,28,145,475,5.18,0.31,,
2021,7,Florida State,22,113,408,5.14,0.28,,
2021,8,Morehead State,30,150,432,5,0.35,,
2021,9,Tennessee,26,128,428,4.92,0.3,,
2021,10,Syracuse,25,123,364,4.92,0.34,,
2021,11,Utah State,28,136,423,4.86,0.32,,
2021,12,North Carolina,28,132,472,4.71,0.28,,
2021,13,Michigan State,27,126,535,4.67,0.24,,
2021,14,Houston,27,126,506,4.67,0.25,,
2021,15,Texas Southern,24,111,431,4.63,0.26,,
2021,16,Iowa,29,131,436,4.52,0.3,,
2021,17,Oklahoma State,28,123,470,4.39,0.26,,
2021,18,Alabama,30,131,554,4.37,0.24,,
2021,19,Virginia,24,104,310,4.33,0.34,,
2021,20,Michigan,24,103,354,4.29,0.29,,
2021,21,Mount St. Mary's,22,91,328,4.14,0.28,,
2021,22,Oral Roberts,26,106,461,4.08,0.23,,
2021,23,Texas Tech,27,110,469,4.07,0.23,,
2021,24,Kansas,28,114,427,4.07,0.27,,
2021,25,Virginia Tech,21,83,338,3.95,0.25,,
2021,26,Iona,17,67,370,3.94,0.18,,
2021,27,UNC Greensboro,29,114,524,3.93,0.22,,
2021,28,St. Bonaventure,20,78,306,3.9,0.25,,
2021,29,Texas,26,101,515,3.88,0.2,,
2021,30,Georgetown,25,97,397,3.88,0.24,,
2021,31,Wisconsin,29,110,471,3.79,0.23,,
2021,32,Baylor,24,90,412,3.75,0.22,,
2021,33,Oregon,26,94,407,3.62,0.23,,
2021,34,Wichita State,21,75,329,3.57,0.23,,
2021,35,Colgate,15,53,235,3.53,0.23,,
2021,36,Missouri,25,88,494,3.52,0.18,,
2021,37,Creighton,28,98,434,3.5,0.23,,
2021,38,Appalachian State,28,97,386,3.46,0.25,,
2021,39,Oklahoma,25,86,361,3.44,0.24,,
2021,40,Ohio State,30,103,557,3.43,0.18,,
2021,41,Purdue,27,92,473,3.41,0.19,,
2021,42,Georgia Tech,25,85,392,3.4,0.22,,
2021,43,Maryland,29,98,431,3.38,0.23,,
2021,44,Oregon State,29,96,547,3.31,0.18,,
2021,45,Norfolk State,23,76,453,3.3,0.17,,
2021,46,Abilene Christian,27,84,524,3.11,0.16,,
2021,47,Drake,29,86,455,2.97,0.19,,
2021,48,North Texas,26,77,409,2.96,0.19,,
2021,49,Grand Canyon,23,68,393,2.96,0.17,,
2021,50,Clemson,23,66,361,2.87,0.18,,
2021,51,Eastern Washington,23,66,390,2.87,0.17,,
2021,52,San Diego State,27,77,503,2.85,0.15,,
2021,53,West Virginia,27,77,442,2.85,0.17,,
2021,54,Gonzaga,26,74,433,2.85,0.17,,
2021,55,Illinois,29,82,521,2.83,0.16,,
2021,56,BYU,26,73,469,2.81,0.16,,
2021,57,LSU,27,75,467,2.78,0.16,,
2021,58,UC Santa Barbara,26,72,413,2.77,0.17,,
2021,59,Colorado,30,83,487,2.77,0.17,,
2021,60,UCLA,26,69,415,2.65,0.17,,
2021,61,Cleveland State,26,65,499,2.5,0.13,,
2021,62,Loyola Chicago,28,67,399,2.39,0.17,,
2021,63,Winthrop,24,57,436,2.38,0.13,,
2021,64,Drexel,19,45,288,2.37,0.16,,
2021,65,Liberty,28,64,407,2.29,0.16,,
2021,66,Ohio,23,49,371,2.13,0.13,,
2021,67,Hartford,23,47,371,2.04,0.13,,
2021,68,Villanova,22,32,341,1.45,0.09,,
2019,1,Duke,34,232,539,6.82,0.43,,
2019,2,Washington,34,195,625,5.74,0.31,,
2019,3,Gonzaga,33,181,530,5.48,0.34,,
2019,4,Michigan State,33,180,565,5.45,0.32,,
2019,5,Tennessee,33,179,575,5.42,0.31,,
2019,6,Kentucky,33,167,537,5.06,0.31,,
2019,7,Mississippi State,33,164,564,4.97,0.29,,
2019,8,Texas Tech,32,157,569,4.91,0.28,,
2019,9,Auburn,34,163,621,4.79,0.26,,
2019,10,Syracuse,33,158,574,4.79,0.28,,
2019,11,Maryland,32,152,495,4.75,0.31,,
2019,12,Baylor,32,152,599,4.75,0.25,,
2019,13,Georgia State,32,152,554,4.75,0.27,,
2019,14,Iowa State,34,158,502,4.65,0.31,,
2019,15,Murray State,31,142,505,4.58,0.28,,
2019,16,Old Dominion,34,155,560,4.56,0.28,,
2019,17,Cincinnati,33,150,529,4.55,0.28,,
2019,18,VCU,32,145,634,4.53,0.23,,
2019,19,Houston,33,149,629,4.52,0.24,,
2019,20,UCF,31,139,524,4.48,0.27,,
2019,21,Yale,28,121,476,4.32,0.25,,
2019,22,LSU,32,138,597,4.31,0.23,,
2019,23,Florida State,34,145,651,4.26,0.22,,
2019,24,UC Irvine,35,149,648,4.26,0.23,,
2019,25,Marquette,33,140,615,4.24,0.23,,
2019,26,Oregon,35,148,622,4.23,0.24,,
2019,27,Wisconsin,33,139,497,4.21,0.28,,
2019,28,Utah State,34,143,631,4.21,0.23,,
2019,29,Michigan,33,138,466,4.18,0.3,,
2019,30,Buffalo,34,138,617,4.06,0.22,,
2019,31,Purdue,32,129,560,4.03,0.23,,
2019,32,Vermont,33,133,541,4.03,0.25,,
2019,33,Northern Kentucky,34,136,647,4,0.21,,
2019,34,Minnesota,34,136,550,4,0.25,,
2019,35,Saint Louis,34,134,601,3.94,0.22,,
2019,36,Kansas,34,134,574,3.94,0.23,,
2019,37,Nevada,33,129,563,3.91,0.23,,
2019,38,Seton Hall,33,129,619,3.91,0.21,,
2019,39,Virginia,32,122,469,3.81,0.26,,
2019,40,Bradley,34,129,595,3.79,0.22,,
2019,41,Belmont,31,117,481,3.77,0.24,,
2019,42,Florida,34,126,582,3.71,0.22,,
2019,43,Fairleigh Dickinson,33,120,554,3.64,0.22,,
2019,44,Ole Miss,32,116,579,3.63,0.2,,
2019,45,North Carolina,33,117,566,3.55,0.21,,
2019,46,Colgate,34,120,532,3.53,0.23,,
2019,47,St. John's,33,110,628,3.33,0.18,,
2019,48,Iowa,33,108,529,3.27,0.2,,
2019,49,Arizona State,32,103,635,3.22,0.16,,
2019,50,Oklahoma,32,99,504,3.09,0.2,,
2019,51,Montana,34,103,636,3.03,0.16,,
2019,52,Villanova,34,103,558,3.03,0.18,,
2019,53,Louisville,33,99,569,3,0.17,,
2019,54,Wofford,33,99,558,3,0.18,,
2019,55,Gardner-Webb,34,99,545,2.91,0.18,,
2019,56,Iona,32,89,550,2.78,0.16,,
2019,57,North Carolina Central,33,91,590,2.76,0.15,,
2019,58,Abilene Christian,33,90,619,2.73,0.15,,
2019,59,Liberty,34,91,513,2.68,0.18,,
2019,60,New Mexico State,34,89,613,2.62,0.15,,
2019,61,Saint Mary's,33,84,559,2.55,0.15,,
2019,62,Ohio State,33,83,591,2.52,0.14,,
2019,63,North Dakota State,33,82,492,2.48,0.17,,
2019,64,Virginia Tech,32,74,489,2.31,0.15,,
2019,65,Kansas State,33,75,532,2.27,0.14,,
2019,66,Temple,32,72,559,2.25,0.13,,
2019,67,Northeastern,33,71,528,2.15,0.13,,
2019,68,Prairie View A&M,34,54,739,1.59,0.07,,
2018,1,Michigan State,33,243,596,7.36,0.41,,
2018,2,Marshall,34,202,586,5.94,0.34,,
2018,3,Texas A&M,32,189,536,5.91,0.35,,
2018,4,Syracuse,33,184,538,5.58,0.34,,
2018,5,Cincinnati,33,183,522,5.55,0.35,,
2018,6,Alabama,34,186,645,5.47,0.29,,
2018,7,Auburn,32,173,635,5.41,0.27,,
2018,8,Duke,33,177,515,5.36,0.34,,
2018,9,West Virginia,34,179,725,5.26,0.25,,
2018,10,Florida State,31,160,566,5.16,0.28,,
2018,11,Purdue,34,171,528,5.03,0.32,,
2018,12,Texas,33,164,531,4.97,0.31,,
2018,13,Kentucky,33,160,623,4.85,0.26,,
2018,14,Clemson,32,155,512,4.84,0.3,,
2018,15,Florida,32,151,552,4.72,0.27,,
2018,16,Oklahoma,31,146,533,4.71,0.27,,
2018,17,Arkansas,34,157,686,4.62,0.23,,
2018,18,Arizona,34,155,592,4.56,0.26,,
2018,19,Georgia State,33,150,603,4.55,0.25,,
2018,20,Tennessee,32,145,625,4.53,0.23,,
2018,21,Bucknell,34,151,632,4.44,0.24,,
2018,22,Texas Tech,33,141,599,4.27,0.24,,
2018,23,North Carolina,35,149,550,4.26,0.27,,
2018,24,Missouri,32,136,573,4.25,0.24,,
2018,25,Buffalo,34,143,719,4.21,0.2,,
2018,26,Kansas,34,142,519,4.18,0.27,,
2018,27,Nevada,34,139,586,4.09,0.24,,
2018,28,Iowa,33,134,548,4.06,0.24,,
2018,29,Ohio State,32,128,556,4,0.23,,
2018,30,Villanova,34,135,539,3.97,0.25,,
2018,31,Miami,31,123,505,3.97,0.24,,
2018,32,Texas Southern,34,134,599,3.94,0.22,,
2018,33,Wichita State,32,126,563,3.94,0.22,,
2018,34,UCLA,32,125,574,3.91,0.22,,
2018,35,UNC Greensboro,34,131,628,3.85,0.21,,
2018,36,NC State,32,122,579,3.81,0.21,,
2018,37,Providence,34,128,601,3.76,0.21,,
2018,38,Virginia,33,123,464,3.73,0.27,,
2018,39,Gonzaga,34,126,580,3.71,0.22,,
2018,40,Charleston,33,119,540,3.61,0.22,,
2018,41,St. Bonaventure,32,115,641,3.59,0.18,,
2018,42,TCU,32,115,537,3.59,0.21,,
2018,43,Arizona State,31,111,585,3.58,0.19,,
2018,44,Seton Hall,32,112,567,3.5,0.2,,
2018,45,Rhode Island,31,107,593,3.45,0.18,,
2018,46,Montana,33,112,695,3.39,0.16,,
2018,47,North Carolina Central,34,115,633,3.38,0.18,,
2018,48,Long Island University,34,111,668,3.26,0.17,,
2018,49,CSU Fullerton,31,101,554,3.26,0.18,,
2018,50,San Diego State,32,102,545,3.19,0.19,,
2018,51,Michigan,35,111,546,3.17,0.2,,
2018,52,Murray State,31,98,536,3.16,0.18,,
2018,53,Houston,32,101,674,3.16,0.15,,
2018,54,Lipscomb,32,100,638,3.13,0.16,,
2018,55,New Mexico State,33,102,591,3.09,0.17,,
2018,56,Iona,33,101,571,3.06,0.18,,
2018,57,Stephen F. Austin,34,104,742,3.06,0.14,,
2018,58,Kansas State,33,99,607,3,0.16,,
2018,59,Radford,34,100,556,2.94,0.18,,
2018,60,Butler,33,97,602,2.94,0.16,,
2018,61,Xavier,33,97,558,2.94,0.17,,
2018,62,Pennsylvania,31,87,539,2.81,0.16,,
2018,63,Creighton,32,85,480,2.66,0.18,,
2018,64,UMBC,34,85,562,2.5,0.15,,
2018,65,Loyola Chicago,33,82,456,2.48,0.18,,
2018,66,North Carolina A&T,34,79,614,2.32,0.13,,
2018,67,South Dakota State,34,78,547,2.29,0.14,,
2018,68,Virginia Tech,32,73,502,2.28,0.15,,
2018,69,Wright State,34,75,541,2.21,0.14,,
2018,70,Davidson,31,59,467,1.9,0.13,,
2017,1,Minnesota,33,224,556,6.79,0.4,,
2017,2,Oregon,34,226,545,6.65,0.41,,
2017,3,Rhode Island,33,201,688,6.09,0.29,,
2017,4,Louisville,32,175,622,5.47,0.28,,
2017,5,USC,33,179,524,5.42,0.34,,
2017,6,UCLA,33,178,542,5.39,0.33,,
2017,7,Kentucky,34,180,654,5.29,0.28,,
2017,8,Winthrop,32,168,583,5.25,0.29,,
2017,9,Florida State,33,168,641,5.09,0.26,,
2017,10,Cincinnati,34,173,542,5.09,0.32,,
2017,11,Northwestern,34,170,647,5,0.26,,
2017,12,Florida,32,155,594,4.84,0.26,,
2017,13,Baylor,32,154,566,4.81,0.27,,
2017,14,Michigan State,33,158,667,4.79,0.24,,
2017,15,East Tennessee State,34,162,679,4.76,0.24,,
2017,16,Arkansas,34,161,699,4.74,0.23,,
2017,17,Maryland,32,151,594,4.72,0.25,,
2017,18,Kansas,32,150,578,4.69,0.26,,
2017,19,West Virginia,34,159,694,4.68,0.23,,
2017,20,Duke,35,157,632,4.49,0.25,,
2017,21,Gonzaga,33,147,541,4.45,0.27,,
2017,22,Vermont,34,150,539,4.41,0.28,,
2017,23,Nevada,34,148,567,4.35,0.26,,
