Year,RK,Team,GP,PPG,FGM,FGA,FGM,FGA,FG%,2PM,2PA,2P%,PPS,FG%
2021,1,Gonzaga,26,92.1,34.2,62,888,1612,0.551,698,1092,0.639,1.49,0.61
2021,2,Loyola Chicago,28,71.5,26.3,52,735,1456,0.505,534,910,0.587,1.38,0.574
2021,3,Illinois,29,81.4,29.3,58.9,851,1707,0.499,654,1183,0.553,1.38,0.556
2021,4,Colgate,15,86.3,31.5,63.1,472,947,0.498,336,607,0.554,1.37,0.57
2021,5,Drake,29,77.4,29.9,60.6,868,1757,0.494,664,1205,0.551,1.28,0.552
2021,6,Baylor,24,84.4,31.1,63,746,1513,0.493,498,920,0.541,1.34,0.575
2021,7,Grand Canyon,23,75.6,28.1,57.1,646,1314,0.492,490,844,0.581,1.32,0.551
2021,8,Liberty,28,74.9,27.2,55.3,761,1549,0.491,472,809,0.583,1.35,0.585
2021,9,Ohio,23,80.9,29.8,61,686,1403,0.489,491,863,0.569,1.33,0.558
2021,10,UC Santa Barbara,26,76.5,27.6,56.8,717,1477,0.485,541,976,0.554,1.35,0.545
2021,11,Michigan,24,76.3,27.8,57.6,668,1382,0.483,487,914,0.533,1.32,0.55
2021,12,BYU,26,78.7,28.9,59.9,751,1557,0.482,518,941,0.55,1.31,0.557
2021,13,Virginia,24,68.6,25.3,52.8,608,1266,0.48,404,731,0.553,1.3,0.561
2021,14,Drexel,19,71.5,26.1,54.6,495,1038,0.477,357,667,0.535,1.31,0.543
2021,15,Creighton,28,77,28.5,59.8,797,1675,0.476,525,933,0.563,1.29,0.557
2021,16,North Texas,26,69.8,25.7,54,668,1405,0.475,471,881,0.535,1.29,0.546
2021,17,Florida State,22,78.9,28.2,59.4,620,1307,0.474,439,843,0.521,1.33,0.544
2021,18,Georgia Tech,25,75.5,27.8,58.6,695,1466,0.474,506,925,0.547,1.29,0.539
2021,19,Oregon,26,74.4,27.5,58.3,715,1515,0.472,497,940,0.529,1.28,0.544
2021,20,Iowa,29,83.8,29.8,63.4,863,1839,0.469,580,1106,0.524,1.32,0.546
2021,21,Oklahoma State,28,77.1,27.7,59.2,775,1658,0.467,596,1129,0.528,1.3,0.521
2021,22,USC,29,74.8,27.2,58.2,788,1687,0.467,605,1161,0.521,1.29,0.521
2021,23,Eastern Washington,23,78,27.7,59.4,638,1367,0.467,444,819,0.542,1.31,0.538
2021,24,Florida,23,74,26.3,56.7,605,1303,0.464,448,863,0.519,1.31,0.525
2021,25,LSU,27,82.1,29,62.7,784,1692,0.463,564,1064,0.53,1.31,0.528
2021,26,UCLA,26,72.8,26.4,57.1,686,1485,0.462,513,1014,0.506,1.28,0.52
2021,27,Morehead State,30,68.8,24.6,53.4,738,1601,0.461,541,1039,0.521,1.29,0.522
2021,28,Winthrop,24,79.5,28.1,61,674,1463,0.461,471,888,0.53,1.3,0.53
2021,29,Abilene Christian,27,77.6,27.7,60.3,749,1628,0.46,535,1022,0.523,1.29,0.526
2021,30,Ohio State,30,77.3,26.3,57.3,790,1719,0.46,543,1042,0.521,1.35,0.531
2021,31,Maryland,29,68.8,24.1,52.9,699,1533,0.456,465,870,0.534,1.3,0.532
2021,32,Arkansas,28,82.4,29.5,64.8,825,1814,0.455,605,1165,0.519,1.27,0.515
2021,33,San Diego State,27,74.1,25.7,56.6,695,1529,0.455,466,918,0.508,1.31,0.529
2021,34,Colorado,30,73,25.8,56.8,774,1704,0.454,550,1093,0.503,1.29,0.52
