Year,RK,Team,GP,PPG,FTM-PG,FTA-PG,FTM-T,FTA-T,FT%
2021,1,Oral Roberts,26,81.8,14,17,364,442,0.824
2021,2,Colorado,30,73,14,17,419,510,0.822
2021,3,Virginia,24,68.6,9.5,11.6,227,278,0.817
2021,4,Eastern Washington,23,78,14.1,18,325,413,0.787
2021,5,Syracuse,25,75.8,13.6,17.4,341,435,0.784
2021,6,Michigan,24,76.3,13,16.7,311,400,0.778
2021,7,Liberty,28,74.9,10.2,13.1,286,368,0.777
2021,8,Drexel,19,71.5,12.1,15.6,230,296,0.777
2021,9,Wisconsin,29,69.6,12,15.7,349,455,0.767
2021,10,Villanova,22,75.5,13.5,17.6,297,388,0.765
2021,11,Clemson,23,65.3,9.9,13,228,298,0.765
2021,12,Ohio State,30,77.3,16.4,21.5,493,646,0.763
2021,13,VCU,26,71.7,14.5,19.1,378,497,0.761
2021,14,Oregon State,29,70.7,14.6,19.2,422,557,0.758
2021,15,Florida,23,74,14.5,19.2,334,441,0.757
2021,16,Georgetown,25,71.4,13.4,17.7,334,443,0.754
2021,17,UC Santa Barbara,26,76.5,14.6,19.4,379,505,0.75
2021,18,LSU,27,82.1,15.9,21.3,429,575,0.746
2021,19,Tennessee,26,72.5,15,20.1,390,523,0.746
2021,20,Oklahoma,25,74.8,13.2,17.7,329,442,0.744
2021,21,Iona,17,72.2,15,20.2,255,343,0.743
2021,22,Houston,27,77.6,13.6,18.3,366,494,0.741
2021,23,Florida State,22,78.9,14.3,19.4,315,427,0.738
2021,24,Arkansas,28,82.4,15.6,21.2,437,593,0.737
2021,25,Appalachian State,28,70.9,14.7,19.9,411,558,0.737
2021,26,North Texas,26,69.8,10.8,14.8,282,384,0.734
2021,27,St. Bonaventure,20,70.5,11.9,16.2,237,323,0.734
2021,28,UConn,22,72.5,13,17.8,286,391,0.731
2021,29,Colgate,15,86.3,14.3,19.6,215,294,0.731
2021,30,BYU,26,78.7,12,16.4,312,427,0.731
2021,31,Gonzaga,26,92.1,16.5,22.7,429,590,0.727
2021,32,Georgia Tech,25,75.5,12.4,17,309,425,0.727
2021,33,Utah State,28,73.3,13.2,18.1,369,508,0.726
2021,34,San Diego State,27,74.1,14.1,19.5,381,527,0.723
2021,35,Loyola Chicago,28,71.5,11.8,16.4,331,458,0.723
2021,36,UCLA,26,72.8,13.4,18.6,349,484,0.721
2021,37,Michigan State,27,69,13.2,18.3,356,494,0.721
2021,38,Alabama,30,79.6,13.3,18.5,399,554,0.72
2021,39,West Virginia,27,77.3,17.4,24.2,469,654,0.717
2021,40,Iowa,29,83.8,14.5,20.3,420,589,0.713
2021,41,Oklahoma State,28,77.1,15.3,21.5,429,602,0.713
2021,42,Drake,29,77.4,10.5,14.8,305,428,0.713
2021,43,Kansas,28,73.1,13,18.3,364,511,0.712
