Year,RK,Team,GP,OFF,ORPG,DEF,DRPG,REB,RPG
2021,1,North Carolina,28,445,15.9,764,27.3,1209,43.2
2021,2,Texas Southern,24,298,12.4,700,29.2,998,41.6
2021,3,Houston,27,387,14.3,723,26.8,1110,41.1
2021,4,Utah State,28,353,12.6,789,28.2,1142,40.8
2021,5,Alabama,30,372,12.4,843,28.1,1215,40.5
2021,6,Illinois,29,313,10.8,859,29.6,1172,40.4
2021,7,Winthrop,24,313,13,653,27.2,966,40.3
2021,8,Georgetown,25,292,11.7,713,28.5,1005,40.2
2021,9,Iowa,29,327,11.3,837,28.9,1164,40.1
2021,10,Grand Canyon,23,248,10.8,673,29.3,921,40
2021,11,Arkansas,28,335,12,784,28,1119,40
2021,12,Colgate,15,146,9.7,450,30,596,39.7
2021,13,USC,29,356,12.3,789,27.2,1145,39.5
2021,14,BYU,26,247,9.5,777,29.9,1024,39.4
2021,15,UNC Greensboro,29,377,13,765,26.4,1142,39.4
2021,16,Texas,26,286,11,719,27.7,1005,38.7
2021,17,Oklahoma State,28,310,11.1,771,27.5,1081,38.6
2021,18,LSU,27,310,11.5,724,26.8,1034,38.3
2021,19,West Virginia,27,365,13.5,665,24.6,1030,38.1
2021,20,UConn,22,291,13.2,548,24.9,839,38.1
2021,21,Wichita State,21,252,12,547,26,799,38
2021,22,Kansas,28,319,11.4,745,26.6,1064,38
2021,23,Gonzaga,26,249,9.6,737,28.3,986,37.9
2021,24,Michigan State,27,294,10.9,721,26.7,1015,37.6
2021,25,Purdue,27,294,10.9,721,26.7,1015,37.6
2021,26,Morehead State,30,309,10.3,816,27.2,1125,37.5
2021,27,Iona,17,189,11.1,448,26.4,637,37.5
2021,28,Michigan,24,219,9.1,680,28.3,899,37.5
2021,29,Florida State,22,257,11.7,565,25.7,822,37.4
2021,30,Mount St. Mary's,22,239,10.9,582,26.5,821,37.3
2021,31,St. Bonaventure,20,229,11.5,516,25.8,745,37.3
2021,32,Norfolk State,23,241,10.5,609,26.5,850,37
2021,33,Baylor,24,309,12.9,566,23.6,875,36.5
