Year,RK,Team,GP,STL,STPG,TO,TOPG,PF,ST/TO,ST/PF
2021,1,Abilene Christian,27,268,9.93,374,13.85,524,0.72,0.51
2021,2,VCU,26,240,9.23,380,14.62,485,0.63,0.49
2021,3,Georgia Tech,25,230,9.2,278,11.12,392,0.83,0.59
2021,4,Baylor,24,215,8.96,298,12.42,412,0.72,0.52
2021,5,Syracuse,25,218,8.72,279,11.16,364,0.78,0.6
2021,6,Alabama,30,259,8.63,421,14.03,554,0.62,0.47
2021,7,Gonzaga,26,216,8.31,315,12.12,433,0.69,0.5
2021,8,San Diego State,27,223,8.26,305,11.3,503,0.73,0.44
2021,9,Houston,27,221,8.19,293,10.85,506,0.75,0.44
2021,10,LSU,27,218,8.07,317,11.74,467,0.69,0.47
2021,11,Arkansas,28,226,8.07,368,13.14,475,0.61,0.48
2021,12,Appalachian State,28,225,8.04,329,11.75,386,0.68,0.58
2021,13,Rutgers,26,203,7.81,294,11.31,459,0.69,0.44
2021,14,Winthrop,24,186,7.75,340,14.17,436,0.55,0.43
2021,15,UC Santa Barbara,26,197,7.58,285,10.96,413,0.69,0.48
2021,16,UNC Greensboro,29,217,7.48,319,11,524,0.68,0.41
2021,17,West Virginia,27,202,7.48,328,12.15,442,0.62,0.46
2021,18,Oregon,26,194,7.46,297,11.42,407,0.65,0.48
2021,19,Florida State,22,163,7.41,316,14.36,408,0.52,0.4
2021,20,Oklahoma,25,184,7.36,277,11.08,361,0.66,0.51
2021,21,Florida,23,168,7.3,337,14.65,427,0.5,0.39
2021,22,Oklahoma State,28,204,7.29,446,15.93,470,0.46,0.43
2021,23,Texas Tech,27,196,7.26,296,10.96,469,0.66,0.42
2021,24,Tennessee,26,188,7.23,326,12.54,428,0.58,0.44
2021,25,North Carolina,28,202,7.21,414,14.79,472,0.49,0.43
2021,26,Colgate,15,108,7.2,151,10.07,235,0.72,0.46
2021,27,Texas Southern,24,172,7.17,384,16,431,0.45,0.4
